"Part";"Value";"Device";"Package";"Description";"PARTNO";
"ANT1";"";"ANTENNA-AN3216";"ANT-SMD3P-3.2X1.6X1.04MM";"";"";
"BAT";"";"TEST-POINT'4080'";"TP-80X40MIL";"";"";
"C1";"100nF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C2";"10pF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C3";"2.2uF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C4";"2.2uF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C5";"100nF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C6";"2.2uF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C7";"10pF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C8";"100nF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C9";"2.2uF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C10";"1nF";"C-0402";"C0402";"Ceramic Capacitors";"";
"C22";"2.2uF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C24";"100nF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C25";"2.2uF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C29";"2.2uF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C30";"2.2uF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C31";"820pF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C32";"10pF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C33";"10pF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C34";"100nF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C35";"100pF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C36";"0.8pF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C37";"0.5pF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C38";"4.7nH";"L0201";"L0201";"";"";
"C39";"2.2uF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C40";"DNP";"C-0201";"C0201";"Ceramic Capacitors";"";
"C41";"2.2uF";"C-0201";"C0201";"Ceramic Capacitors";"";
"C42";"2.2uF";"C-0201";"C0201";"Ceramic Capacitors";"";
"CHG";"RED";"LED-0402";"LED-0402";"";"";
"D1";"";"DIODE'0603'";"SOD-523";"";"";
"GND";"GND";"TEST-POINT'4080'";"TP-80X40MIL";"";"";
"J1";"DNP";"HEADER-7P-HALF-HOLE-2.54";"H7-HALF-HOLE-2.54";"";"";
"J2";"DNP";"HEADER-7P-HALF-HOLE-2.54";"H7-HALF-HOLE-2.54";"";"";
"K1";"";"BUTTON-4P";"SW4-SMD-2.8-2.6X1.6X0.53MM";"";"";
"L3";"10uH";"L0603";"L0603";"";"";
"MIC1";"MSM261D3526H1CPM";"MIC-MSM261D3526H1CPM";"MIC6P-3.5X2.65X0.94MM";"";"";
"NFC1";"";"TEST-POINT'4080'";"TP-80X40MIL";"";"";
"NFC2";"";"TEST-POINT'4080'";"TP-80X40MIL";"";"";
"Q1";"PMOS_1.00.6*0.35MM";"PMOS_1.00.6*0.35MM";"PMOS_1.0*0.6*0.35MM";"MCC:SI3139KL3";"";
"R1";"5.1k";"R-0201";"R0201";"";"";
"R2";"5.1k";"R-0201";"R0201";"";"";
"R3";"2.2k";"R-0201";"R0201";"";"";
"R4";"10k";"R-0201";"R0201";"";"";
"R5";"2.2k";"R-0201";"R0201";"";"";
"R7";"2.2k";"R-0201";"R0201";"";"";
"R8";"DNP";"R-0201";"R0201";"";"";
"R9";"100k";"R-0201";"R0201";"";"";
"R10";"33R";"R-0201";"R0201";"";"";
"R11";"33R";"R-0201";"R0201";"";"";
"R12";"2.7k";"R-0201";"R0201";"";"";
"R13";"10k";"R-0201";"R0201";"";"";
"R14";"10k";"R-0201";"R0201";"";"";
"R15";"10k";"R-0201";"R0201";"";"";
"R16";"1M_1%";"R-0201";"R0201";"";"";
"R17";"510k_1%";"R-0201";"R0201";"";"";
"R18";"2.7k";"R-0201";"R0201";"";"";
"R20";"10k";"R-0201";"R0201";"";"";
"RGB6";"RGB";"RGB-1010";"4P1010";"";"";
"TP1";"";"TEST-POINT'4545'";"TP-D45MIL";"";"DNP";
"TP2";"";"TEST-POINT'4545'";"TP-D45MIL";"";"DNP";
"TP3";"";"TEST-POINT'4545'";"TP-D45MIL";"";"DNP";
"TP5";"";"TEST-POINT'4545'";"TP-D45MIL";"";"DNP";
"U1";"";"NRF52840_QF";"AQFN50P700X700X85_HS-74N";"nRF52840";"";
"U2";"BQ25100";"BQ25101_DSBGA_6_BQ25101_DSBGA_6";"BQ25101_DSBGA_6_BQ25101";"";"";
"U3";"LSM6DS3TR-C";"SENSOR-LSM6DS3TR-C";"LGA14-0.5-2.5X3X0.86MM";"";"";
"U6";"3.3V";"TLV733P";"X2SON-4";"";"";
"U7";"DNP";"W25XXC";"USON2X3_8";"";"";
"USB1";"";"USB2.0-TYPE-C";"USB2.0-TYPE-C";"";"";
"X1";"32.768KHz";"CRYSTAL-2P-1610";"X2-SMD-L1.6X1.0X0.5MM";"";"";
"X2";"32MHz";"CRYSTAL'-1612'";"4P1612";"";"";
