Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
ACCESS.BUS	HDR-TH_4P-P2.54-V-M	3.39mm	40.31mm	3.39mm	40.31mm	3.39mm	36.5mm	T	90	Header-Male-2.54_1x4
AUDIO	AUDIO-TH_PJ307C	42.04mm	55.84mm	42.04mm	55.84mm	42.04mm	58.34mm	T	0	PJ-307C
BUZ-EN	HDR-TH_2P-P2.54-V-M-1	33.92mm	41.15mm	33.92mm	41.15mm	33.92mm	39.88mm	T	90	22-28-4020
BUZZER	CMT964885T	26.88mm	46.16mm	26.88mm	44.16mm	26.88mm	44.16mm	T	0	CMT-9648-85T
C1	C0402_NEW	100.64mm	43.01mm	100.64mm	43.01mm	100.1mm	43.01mm	T	0	100nF
C2	C0402	100.64mm	41.79mm	100.64mm	41.79mm	100.1mm	41.79mm	T	0	10µF
C3	CAPPRD250W55D630H1270	101.31mm	47.4mm	101.31mm	46.15mm	101.31mm	46.15mm	T	90	EEUFR0J471B
C4	CAP-SMD_L3.2-W1.6-R-RD	88.3mm	14.14mm	88.3mm	14.14mm	89.98mm	14.14mm	T	0	10uF
C5	C0402	87.59mm	47.16mm	87.59mm	47.16mm	87.05mm	47.16mm	T	0	1pF
C6	C0402_NEW	90.14mm	23.68mm	90.14mm	23.68mm	89.6mm	23.68mm	T	0	100nF
C7	C0402	62.98mm	34.34mm	62.98mm	34.34mm	62.98mm	34.89mm	T	270	10µF
C8	C0402	65.28mm	34.34mm	65.28mm	34.34mm	65.28mm	34.89mm	T	270	10µF
C9	C0402_NEW	72.06mm	22.5mm	72.06mm	22.5mm	72.06mm	21.95mm	T	90	100nF
C10	C0402_NEW	71.04mm	34.34mm	71.04mm	34.34mm	71.04mm	34.89mm	T	270	100nF
C11	C0402_NEW	68.74mm	34.34mm	68.74mm	34.34mm	68.74mm	33.8mm	T	90	100nF
C12	C0402	87.24mm	43.1mm	87.24mm	43.1mm	87.24mm	43.64mm	T	270	4.7µF
